"Code";"en - English";"et - estonian";"zh-hans - Simplified Chinese";"zh-hant - Traditional Chinese";"fr - French";"de - German";"ja - Japanese";"es - Spanish";"sv - Swedish";"pl - Polish";"pt - Portugese";"pt-BR - Portuguese (Brazil)";"ru - Russian";"ar - Arabic";"bg - Bulgarian";"cs - Czech";"da - Danish";"el - Greek";"fi - Finnish";"hu - Hungarian";"it - Italian";"he - Hebrew";"ko - Korean";"nl - Dutch";"no - Norwegian";"ro - Romanian";"tr - Turkish";"lt - Lithuanian";"lv - Latvian";"uk - Ukrainian ";"th - Thai";"id - Indonesian ";"vi - Vietnamese ";"ca - Catalan";"hr - Croatian";"sk - Slovak";"sl - Slovenian";"sr-Latn - Serbian (latin)";"hi - Hindi"
"ba";"Bashkir";"baškiiri";"巴什基尔语  ";"巴什喀爾文";"Bachkir";"Baschkir";"バシキール語";"Baskir";"Basjkiriska";"Baszkirski";"Basquir";"Bashkir";"Башкирский";"البشكيرية";"башкирски";"Baškirština";"Bashkir";"Μπασκίρ";"Baškiiri";"Baskír";"Bashkir";"באשקירית";"바시키르어";"Bashkir";"Basjkirsk";"Bashkir";"Başkırca";"baškirų";"baškīru";"Башкирська";"บัชคีร์";"Bashkir";"Tiếng Baskir";"Baixkir";"baškirski";"baškirčina";"baškirščina";"Baškirski";"बश्कीर"
"eu";"Basque";"baski";"巴斯克语";"巴斯克文";"Basque";"Baskisch";"バスク語";"Vasco";"Baskiska";"Baskijski";"Basco";"Basco";"Баскский";"الباسكية";"баскийски";"Baskičtina";"Baskisk";"Βάσκικα";"Baski";"Baszk";"Basco";"בסקית";"바스크어";"Baskisch";"Baskisk";"Bască";"Bask Dili";"baskų";"basku";"Баскська";"แบ็ซก์";"Basque";"Tiếng Baxcơ";"Basc";"baskijski";"baskičtina";"baskovščina";"Baskijski";"बास्क"
"bn";"Bengali";"bengali";"孟加拉语";"孟加拉文";"Bengali";"Bengalisch";"ベンガル語";"Bengalí";"Bengali";"Bengalski";"Bengali";"Bengali";"Бенгальский";"البنغالية";"бенгалски";"Bengálština";"Bengali";"Μπενγκάλι";"Bengali";"Bengáli";"Bengali";"בנגלית";"벵골어";"Bengaals";"Bengali";"Bengaleză";"Bengali";"bengalų";"bengāļu";"Бенгальська";"เบ็งกาลี";"Bengali";"Tiếng Bengali";"Bengalí";"bengalski";"bengálčina";"bengalščina";"Bengalski";"बंगाली"
"dz";"Bhutani";"bhutani";"不丹语";"不丹文";"Bhoutanais";"Bhutanisch";"ブータン語";"Butanés";"Dzongkha";"Dżongkha";"Butanês";"Bhutani";"Бутанский";"البوتانية";"дзонгкха";"Bhútánština";"Bhutani";"Μπουτάνι";"Bhutani";"Bhutáni";"Dzongkha";"בהוטנית";"후탄";"Bhutaans";"Bhutansk";"Bhutani";"Butan Dili";"botijų";"butāniešu";"Дзонґ-ке";"ภูฏาน";"Dzongkha";"Tiếng Bhutani";"Dzongka";"butanski";"bhutánčina";"butanščina";"Butanski";"भूटानी"
"bh";"Bihari";"bihaari";"比哈里语";"比哈文";"Bihari";"Bihari";"ビハール語";"Bahreiní";"Bihari";"Bihari";"Biari";"Bihari";"Бихари";"البيهارية";"бихари";"Biharština";"Bihari";"Μπιχάρι";"Bihari";"Bihari";"Bihari";"ביהרית";"비하리";"Bihari";"Bihari";"Bihari";"Bihari Dili";"bihari";"biharu";"Біхарі";"พิหาร";"Bihari";"Tiếng Bihari";"Bihari";"biharski";"bihárčina";"biharščina";"Biharski";"बिहारी"
"bi";"Bislama";"bislama";"比斯拉马语";"比斯拉馬文";"Bislama";"Bislama";"ビスラマ語";"Bislama";"Bislama";"Bislama";"Bislama";"Bislama";"Бислама";"البيسلامية";"бислама";"Bislámština";"Bislama";"Μπισλάμα";"Bislama";"Biszlama";"Bislama";"בילאמית";"비슬라마어";"Bislama";"Bislama";"Bislama";"Bislama Dili";"bislamo";"bislama";"Бісламійська";"บิสลามา";"Bislama";"Tiếng Bislama";"Bislama";"bislamski";"bislamčina";"bislamščina";"Bislamski";"बिस्लामा"
"bs";"Bosnian";"bosnia";"波斯尼亚文";"波士尼亞文";"Bosniaque";"Bosnisch";"ボスニア語";"Bosnio";"Bosniska";"Bośniacki";"Bósnio";"Bósnio";"Боснийский";"البوسنية";"босненски";"Bosenština";"Bosnisk";"Βοσνιακά";"Bosnia";"Bosnyák";"Bosniaco";"בוסנית";"보스니아어";"Bosnisch";"Bosnisk";"Bosniacă";"Boşnakça";"bosnių";"bosniešu";"Боснійська";"บอสเนีย";"Bosnia";"Tiếng Nam Tư";"Bosnià";"bosanski";"bosniačtina";"bosanščina";"Bosanski";"बोस्नियाई"
"br";"Breton";"bretooni";"布列塔尼语";"布里敦文";"Breton";"Bretonisch";"ブルトン語";"Bretón";"Bretonska";"Bretoński";"Bretão";"Breton";"Бретонский";"البريتونية";"бретонски";"Bretonština";"Bretonsk";"Βρετονικά";"Bretoni";"Breton";"Bretone";"ברטונית";"브르타뉴어";"Bretons";"Bretagnsk";"Bretonă";"Bretonca";"bretonų";"bretoņu";"Бретонська";"เบรตัน";"Breton";"Tiếng Breton";"Bretó";"bretonski";"bretónčina";"bretonščina";"Bretonski";"ब्रेटन"
"bg";"Bulgarian";"bulgaaria";"保加利亚语";"保加利亞文";"Bulgare";"Bulgarisch";"ブルガリア語";"Búlgaro";"Bulgariska";"Bułgarski";"Búlgaro";"Búlgaro";"Болгарский";"البلغارية";"български";"Bulharština";"Bulgarsk";"Βουλγαρικά";"Bulgaria";"Bolgár";"Bulgaro";"בולגרית";"불가리아어";"Bulgaars";"Bulgarsk";"Bulgară";"Bulgarca";"bulgarų";"bulgāru";"Болгарська";"บัลแกเรีย";"Bulgar";"Tiếng Bun-ga-ri";"Búlgar";"bugarski";"bulharčina";"bolgarščina";"Bugarski";"बुल्गारियाई"
"my";"Burmese";"birma";"缅甸语";"緬甸文";"Birman";"Birmanisch";"ビルマ語";"Birmano";"Burmesiska";"Birmański";"Birmanês";"Burmês";"Бирманский";"البورمية";"бирмански";"Burmština";"Burmesisk";"Βιρμανικά";"Burma";"Burmai";"Burmese";"בורמזית";"버마어";"Burmees";"Burmesisk";"Burmeză";"Burmese Dili";"birmiečių";"birmiešu";"Бірманська";"พม่า";"Burma";"Tiếng Miến Điện";"Birmà";"burmanski";"barmčina";"burmanščina";"Burmanski";"बर्मी"
"be";"Belarusian";"valgevene";"白俄罗斯语";"白俄羅斯文";"Biélorusse";"Weißrussisch";"ベラルーシ語";"Bielorruso";"Vitryska";"Białoruski";"Bielorrusso";"Bielo-russo";"Белорусский";"البيلاروسية";"белоруски";"Běloruština";"Hviderussisk";"Λευκορωσικά";"Valkovenäjä";"Fehérorosz";"Bielorusso";"בלרוסית";"벨로루시어";"Wit-Russisch";"Hviterussisk";"Belarusă";"Beyaz Rusça";"baltarusių";"baltkrievu";"Білоруська";"เบลารุส";"Belarusia";"Tiếng Bê-la-rút";"Bielorús";"bjeloruski";"bieloruština";"beloruščina";"Beloruski";"बेलारूसी"
"km";"Cambodian";"kambodža";"柬埔寨语";"柬埔寨文";"Cambodgien";"Kambodschanisch";"クメール語";"Camboyano";"Kambodjanska";"Kambodżański";"Cambojano";"Cambojano";"Камбоджийский";"الكمبودية";"кхмерски";"Kambodžština";"Cambodjansk";"Καμποτζιανά";"Kambodša";"Kambodzsai";"Khmer";"קמבודית";"캄보디아어";"Cabodjaans";"Khmer";"Khmeră";"Kamboçya Dili";"kambodžiečių";"kambodžiešu";"Камбоджійська";"กัมพูชา";"Khmer";"Tiếng Cam-pu-chia";"Cambodjià";"kmerski";"kambodžtina";"kamboščina";"Kambodžanski";"कम्बोडियाई"
"ca";"Catalan";"katalaani";"加泰罗尼亚语";"卡達隆尼亞文";"Catalan";"Katalanisch";"カタルーニャ語";"Catalán";"Katalanska";"Kataloński";"Catalão";"Catalão";"Каталанский";"الكتلانية";"каталонски";"Katalánština";"Katalansk";"Καταλανικά";"Katalaani";"Katalán";"Catalano";"קטלנית";"카탈로니아어";"Catalaans";"Katalansk";"Catalană";"Katalan Dili";"katalonų";"katalāņu";"Каталанська";"กาตาลัน";"Katalan";"Tiếng Catalan";"Català";"katalanski";"katalánčina";"katalonščina";"Katalanski";"कातलान"
"zh";"Chinese";"hiina";"汉语";"中文";"Chinois";"Chinesisch";"中国語";"Chino";"Kinesiska";"Chiński";"Chinês";"Chinês";"Китайский";"الصينية";"китайски";"Čínština";"Kinesisk";"Κινέζικα";"Kiina";"Kínai";"Cinese";"סינית";"중국어";"Chinees";"Kinesisk";"Chineză";"Çince";"kinų";"ķīniešu";"Китайська";"จีน";"Mandarin";"Tiếng Trung Quốc";"Xinès";"kineski";"čínština";"kitajščina";"Kineski";"चीनी"
"co";"Corsican";"korsika";"科西嘉语";"科西嘉文";"Corse";"Korsisch";"コルシカ語";"Corso";"Korsikanska";"Korsykański";"Corso";"Córsico";"Корсиканский";"الكورسيكية";"корсикански";"Korsičtina";"Korsikansk";"Κορσικανικά";"Korsika";"Korzikai";"Còrso";"קורסיקנית";"코르시카어";"Corsicaans";"Korsikansk";"Corsicană";"Korsika Dili";"korsikiečių";"korsikāņu";"Корсиканська";"คอร์ซิกา";"Korsika";"Tiếng Corsican";"Cors";"korzički";"korzičtina";"korzijščina";"Korzički";"कॉर्सिकन"
"hr";"Croatian";"horvaatia";"克罗地亚语";"克羅埃西亞文";"Croate";"Kroatisch";"クロアチア語";"Croata";"Kroatiska";"Chorwacki";"Croata";"Coata";"Хорватский";"الكرواتية";"хърватски";"Chorvatština";"Kroatisk";"Κροάτικα";"Kroatia";"Horvát";"Croato";"קרואטית";"크로아티아어";"Kroatisch";"Kroatisk";"Croată";"Hırvatça";"kroatų";"horvātu";"Хорватська";"โครเอเชีย";"Kroat";"Tiếng Croát-tia";"Croat";"hrvatski";"chorváčtina";"hrvaščina";"Hrvatski";"क्रोएशियाई"
"cs";"Czech";"tšehhi";"捷克语";"捷克文";"Tchèque";"Tschechisch";"チェコ語";"Checo";"Tjeckiska";"Czeski";"Checo";"Tcheco";"Чешский";"التشيكية";"чешки";"Čeština";"Tjekkisk";"Τσέχικα";"Tšekki ";"Cseh";"Ceco";"צ'כית";"체크어";"Tsjechisch";"Tsjekkisk";"Cehă";"Çekce";"čekų";"čehu";"Чеська";"เช็ก";"Cek";"Tiếng Séc";"Txec";"češki";"čeština";"češčina";"Češki";"चेक"
"da";"Danish";"taani";"丹麦语";"丹麥文";"Danois";"Dänisch";"デンマーク語";"Danés";"Danska";"Duński";"Dinamarquês";"Dinamarquês";"Датский";"الدانماركية";"датски";"Dánština";"Dansk";"Δανικά";"Tanska";"Dán";"Danese";"דנית";"덴마크어";"Deens";"Dansk";"Daneză";"Danca";"danų";"dāņu";"Данська";"เดนมาร์ก";"Dansk";"Tiếng Đan Mạch";"Danès";"danski";"dánčina";"danščina";"Danski";"डैनिश"
"nl";"Dutch";"hollandi";"荷兰语";"荷蘭文";"Néerlandais";"Niederländisch";"オランダ語";"Neerlandés";"Nederländska";"Niderlandzki";"Holandês";"Holandes";"Голландский";"الألمانية";"холандски";"Nizozemština";"Hollandsk";"Ολλανδικά";"Hollanti";"Holland";"Olandese";"הולנדית";"네덜란드어";"Nederlands";"Nederlandsk";"Olandeză";"Flemenkçe";"olandų";"holandiešu";"Нідерландська";"เนเธอร์แลนด์";"Belanda";"Tiếng Hà Lan";"Neerlandès";"nizozemski";"holandčina";"nizozemščina";"Holandski";"डच"
"en";"English";"inglise";"英语";"英文";"Anglais";"Englisch";"英語";"Inglés";"Engelska";"Angielski";"Inglês";"Inglês";"Английский";"الإنجليزية";"английски";"Angličtina";"Engelsk";"Ελληνικά";"Englanti";"Angol";"Inglese";"אנגלית";"영어";"Engels";"Engelsk";"Engleză";"İngilizce";"anglų";"angļu";"Англійська";"อังกฤษ";"Inggris";"Tiếng Anh";"Anglès";"engleski";"angličtina";"angleščina";"Engleski";"अंग्रेज़ी"
"eo";"Esperanto";"esperanto";"世界语";"世界語";"Esperanto";"Esperanto";"エスペラント語";"Esperanto";"Esperanto";"Esperanto";"Esperanto";"Esperanto";"Эсперанто";"الإسبرانتو";"есперанто";"Esperanto";"Esperanto";"Εσπεράντο";"Esperanto";"Eszperantó";"Esperanto";"אספרנטו";"에스페란토";"Esperanto";"Esperanto";"Esperanto";"Esperanto";"esperanto";"esperanto";"Есперанто";"เอสเปรันโต";"Esperanto";"Quốc tế ngữ";"Esperanto";"esperanto";"esperanto";"esperanto";"Esperanto";"ऐस्पेरांतो"
"et";"Estonian";"eesti";"爱沙尼亚语";"愛沙尼亞文";"Estonien";"Estnisch";"エストニア語";"Estonio";"Estniska";"Estoński";"Estónio";"Estoniano";"Эстонский";"الإستونية";"естонски";"Estonština";"Estisk";"Εσθονικά";"Viro";"Észt";"Estone";"אסטונית";"에스토니아어";"Ests";"Estisk";"Estoniană";"Estonya Dili";"estų";"igauņu";"Естонська";"เอสโตเนีย";"Esti";"Tiếng Ét-to-ni";"Estonià";"estonski";"estónčina";"estonščina";"Estonski";"एस्टोनियाई"
"fo";"Faroese";"fääri";"法罗群岛语";"法羅文";"Féringien";"Färöisch";"フェロー語";"Feroés";"Färöiska";"Faroeski";"Feroês";"Farsi";"Фарерский";"الفاروزية";"фарьорски";"Faerština";"Færøsk";"Φαροεζικά";"Fääri";"Feröeri";"Faroese";"פרואסית";"페로어";"Faeröers";"Færøysk";"Feroeză";"Faroese Dili";"farerų";"fēru";"Фарерська";"แฟโร";"Faeroe";"Tiếng Faroese";"Feroès";"ferojski";"faerčina";"ferščina";"Farski";"फ़िरोज़ी"
"fj";"Fiji";"fidži";"斐济语";"斐濟文";"Fidji";"Fidschi";"フィジー語";"Fiyiano";"Fiji";"Fidżi";"Fijiano";"Fiji";"Фиджи";"فيجي";"фиджийски";"Fidžijština";"Fiji";"Φίτζι";"Fidzhi";"Fidzsi";"Figiano";"פיג'ית";"피지어";"Fiji";"Fiji";"Fiji";"Fiji Dili";"fidžių";"fidžiešu";"Фіджі";"ฟิจิ";"Fiji";"Tiếng Fiji";"Fiji";"fidžijski";"fidžijčina";"fidžijščina";"Fidžijski";"फ़िजी"
"fi";"Finnish";"soome";"芬兰语";"芬蘭文";"Finlandais";"Finnisch";"フィンランド語";"Finés";"Finska";"Fiński";"Finlandês";"Finlandês";"Финский";"الفنلندية";"фински";"Finština";"Finsk";"Φινλανδικά";"Suomi";"Finn";"Finlandese";"פינית";"핀란드어";"Fins";"Finsk";"Finlandeză";"Fince";"suomių";"somu";"Фінська";"ฟินแลนด์";"Suomi";"Tiếng Phần Lan";"Finès";"finski";"fínčina";"finščina";"Finski";"फ़िनिश"
"fr";"French";"prantsuse";"法语";"法文";"Français";"Französisch";"フランス語";"Francés";"Franska";"Francuski";"Francês";"Francês";"Французский";"الفرنسية";"френски";"Francouzština";"Fransk";"Γαλλικά";"Ranska";"Francia";"Francese";"צרפתית";"프랑스어";"Frans";"Fransk";"Franceză";"Fransızca";"prancūzų";"franču";"Французька";"ฝรั่งเศส";"Prancis";"Tiếng Pháp";"Francès";"francuski";"francúzština";"francoščina";"Francuski";"फ़्रेंच"
"fy";"Frisian";"friisi";"弗里西亚语";"夫里斯蘭文";"Frison";"Friesisch";"フリジア語";"Frisón";"Frisiska";"Fryzyjski";"Frísico";"Frisian";"Фризский";"الفريزيانية";"фризийски";"Fríština";"Frisisk";"Φρίζιαν";"Friisi";"Fríz";"Frisone";"פריזלנדית";"프리슬란드어";"Fries";"Frisisk";"Frisiană";"Frisian";"fryzų";"frīzu";"Фризька";"ฟริเชีย";"Frisia";"Tiếng Frisian";"Frisó";"frizijski";"frízština";"frizijščina";"Frizijski";"फ़्रीशियन"
"gl";"Galician";"galeegi";"加利西亚语";"加里斯亞文";"Galicien";"Galizisch";"ガリシア語";"Gallego";"Galiciska";"Galicyjski";"Galego";"Galego";"Галисийский";"الغالية";"галисийски";"Galicijština";"Galilæisk";"Γαλικικά";"Galicia";"Galiciai";"Galiziano";"גליזיאנית";"갈리시아어";"Galisisch";"Galicisk";"Galiciană";"Galician";"galų";"galisiešu ";"Галісійська";"กาลิเซีย";"Galicia";"Tiếng Galician";"Gallec";"galicijski";"galícijčina";"galicijščina";"Galicijski";"गैलिशियन"
"ka";"Georgian";"gruusia";"格鲁吉亚语";"喬治亞文";"Géorgien";"Georgisch";"グルジア語";"Georgiano";"Georgiska";"Gruziński";"Georgiano";"Georgiano";"Грузинский";"الجورجية";"грузински";"Gruzínština";"Georgisk";"Γεωργιανά";"Georgia";"Grúz";"Georgiano";"גיאורגית";"그루지야어";"Georgisch";"Georgisk";"Georgiană";"Gürcü";"gruzinų";"gruzīnu";"Грузинська";"จอร์เจีย";"Georgia";"Tiếng Georgian";"Georgià";"gruzijski";"gruzínčina";"gruzinščina";"Gruzijski";"जॉर्जियन"
"de";"German";"saksa";"德语";"德文";"Allemand";"Deutsch";"ドイツ語";"Alemán";"Tyska";"Niemiecki";"Alemão";"Alemão";"Немецкий";"الألمانية";"немски";"Němčina";"Tysk";"Γερμανικά";"Saksa";"Német";"Tedesco";"גרמנית";"독일어";"Duits";"Tysk";"Germană";"Almanca";"vokiečių";"vācu";"Німецька";"เยอรมัน";"Jerman";"Tiếng Đức";"Alemany";"njemački";"nemčina";"nemščina";"Nemački";"जर्मन"
"el";"Greek";"kreeka";"希腊语";"希臘文";"Grec";"Griechisch";"ギリシャ語";"Griego";"Grekiska";"Grecki";"Grego";"Grego";"Греческий";"اليونانية";"гръцки";"Řečtina";"Græsk";"Ελληνικά";"Kreikka";"Görög";"Greco";"יוונית";"그리스어";"Grieks";"Gresk";"Greacă";"Yunanca";"graikų";"grieķu";"Грецька";"กรีก";"Yunani";"Tiếng Hy Lạp";"Grec";"grčki";"gréčtina";"grščina";"Grčki";"यूनानी"
"kl";"Greenlandic";"grööni";"格陵兰语";"格陵蘭文";"Groenlandais";"Grönländisch";"グリーンランド語";"Groenlandés";"Grönländska";"Grenlandzki";"Gronelandês";"Greenlandic";"Гренландский";"الجرينلاندية";"гренландски";"Grónština";"Grønlandsk";"Γροιλανδικά";"Grönlanti";"Grönlandi";"Kalaallisut";"גרינלנדית";"그린란드어";"Groenlands";"Grønnlandsk";"Groenlandeză";"Grönland Dili";"grenlandų";"grenlandiešu";"Ґренландська";"กรีนแลนด์";"Kalaallisut";"Tiếng Greenlandic";"Grenlandès";"grenlandski";"grónčina";"grenlandščina";"Grenlandski";"ग्रीनलैंडिक"
"gn";"Guarani";"guarani";"瓜拉尼語";"瓜拉尼文";"Guarani";"Guarani";"グアラニー語";"Guaraní";"Guaraní";"Guarani";"Guarani";"Guarani";"Гуарани";"الجورانية";"гуарани";"Guaraní";"Guaraní";"Γκουαρανί";"Guarani";"Guaraní";"Guarani";"גוארנית";"과라니어";"Guaraans";"Guarani";"Guarani";"Guarani";"gvaranių";"guarani";"Гуарані";"กวารานี";"Guarani";"Tiếng Guarani";"Guaraní";"guaranski";"guaraníjčina";"gvarani";"Guaranski";"गौरानी"
"gu";"Gujarati";"gudžarati";"古吉拉特语";"古吉拉特文";"Gujarati";"Gujarati";"グジャラート語";"Gujarati";"Gujarati";"Gudźarati";"Gujarati";"Gujarati";"Гуджарати";"الجوجاراتية";"гуджарати";"Gudžarátština";"Gujarati";"Γκουτζαράτι";"Gujarati";"Gujarati";"Gujarati";"גוז'אראטית";"구자라트어";"Gujarati";"Gujarati";"Gujarati";"Gujarati Dili";"gujarati";"gudžaratu";"Гуджараті";"คุชราตี";"Gujarati";"Tiếng Gujarati";"Gujarati";"gudžaratski";"gudžarátčina ";"gudžarati";"Gudžarati";"गुजराती"
"ha";"Hausa";"hausa";"豪萨语";"豪沙文";"Haoussa";"Haussa";"ハウサ語";"Hausa";"Hausa";"Hausa";"Haúça";"Hausa";"Хауса";"الهاوسا";"хауса";"Hausa";"Hausa";"Χάουσα";"Hausa";"Hausa";"Hausa";"הוסאית";"하우사어";"Hausa";"Hausa";"Hausa";"Hausa Dili";"hausų";"hausu";"Хауса";"เฮาซา";"Hausa";"Tiếng Hausa";"Haussa";"hausa";"hauština";"Hausa";"Hausa";"हौसा"
"he";"Hebrew";"heebrea";"希伯来语";"希伯來文";"Hébreu";"Hebräisch";"ヘブライ語";"Hebreo";"Hebreiska";"Hebrajski";"Hebraico";"Hebreu";"Иврит";"العبرية";"иврит";"Hebrejština";"Hebræisk";"Εβραϊκά";"Heprea";"Héber";"Ebraico";"עברית";"히브리어";"Hebreeuws";"Hebraisk";"Ebraică";"İbranice";"hebrajų";"senebreju";"Іврит";"ฮีบรู";"Ibrani";"Tiếng Hê-brơ";"Hebreu";"hebrejski";"hebrejčina";"hebrejščina";"Herbrejski";"हिब्रू"
"hi";"Hindi";"hindi";"印地语";"印度文";"Hindou";"Hindi";"ヒンディー語";"Hindi";"Hindi";"Hindi";"Hindi";"Hindu";"Хинди";"الهندية";"хинди";"Hindština";"Hindi";"Νεοϊνδικά";"Hindi";"Hindi";"Hindi";"הינדית";"힌두어";"Hindi";"Hindi";"Hindi";"Hintçe";"hindi";"hindi";"Гінді";"ฮินดี";"Hindi";"Tiếng Hindi";"Hindi";"hindski";"hindčina ";"hindijščina";"Hindi";"हिंदी"
